Customer ID,City,State,Latitude,Longitude
5,Mineola,KY,38.8881,-91.5714
6,Mineola,KY,38.8881,-91.5714
21,Mineola,KY,38.8881,-91.5714
34,Mineola,KY,38.8881,-91.5714
43,Mineola,KY,38.8881,-91.5714
54,Mineola,KY,38.8881,-91.5714
62,Mineola,KY,38.8881,-91.5714
64,Mineola,KY,38.8881,-91.5714
66,Mineola,KY,38.8881,-91.5714
87,Mineola,KY,38.8881,-91.5714
90,Mineola,KY,38.8881,-91.5714
97,Mineola,KY,38.8881,-91.5714
118,Mineola,KY,38.8881,-91.5714
121,Mineola,KY,38.8881,-91.5714
139,Mineola,KY,38.8881,-91.5714
142,Mineola,KY,38.8881,-91.5714
159,Mineola,KY,38.8881,-91.5714
165,Mineola,KY,38.8881,-91.5714
167,Mineola,KY,38.8881,-91.5714
174,Mineola,KY,38.8881,-91.5714
175,Mineola,KY,38.8881,-91.5714
189,Mineola,KY,38.8881,-91.5714
197,Mineola,KY,38.8881,-91.5714
211,Mineola,KY,38.8881,-91.5714
232,Mineola,KY,38.8881,-91.5714
235,Mineola,KY,38.8881,-91.5714
246,Mineola,KY,38.8881,-91.5714
251,Mineola,KY,38.8881,-91.5714
278,Mineola,KY,38.8881,-91.5714
311,Mineola,KY,38.8881,-91.5714
315,Mineola,KY,38.8881,-91.5714
316,Mineola,KY,38.8881,-91.5714
426,Mineola,KY,38.8881,-91.5714
441,Mineola,KY,38.8881,-91.5714
474,Mineola,KY,38.8881,-91.5714
475,Mineola,KY,38.8881,-91.5714
491,Mineola,KY,38.8881,-91.5714
496,Mineola,KY,38.8881,-91.5714
504,Mineola,KY,38.8881,-91.5714
506,Mineola,KY,38.8881,-91.5714
507,Mineola,KY,38.8881,-91.5714
533,Mineola,KY,38.8881,-91.5714
573,Mineola,KY,38.8881,-91.5714
577,Mineola,KY,38.8881,-91.5714
615,Mineola,KY,38.8881,-91.5714
617,Mineola,KY,38.8881,-91.5714
622,Mineola,KY,38.8881,-91.5714
627,Mineola,KY,38.8881,-91.5714
645,Mineola,KY,38.8881,-91.5714
657,Mineola,KY,38.8881,-91.5714
709,Mineola,KY,38.8881,-91.5714
723,Mineola,KY,38.8881,-91.5714
730,Mineola,KY,38.8881,-91.5714
739,Mineola,KY,38.8881,-91.5714
740,Mineola,KY,38.8881,-91.5714
747,Mineola,KY,38.8881,-91.5714
778,Mineola,KY,38.8881,-91.5714
793,Mineola,KY,38.8881,-91.5714
802,Mineola,KY,38.8881,-91.5714
808,Mineola,KY,38.8881,-91.5714
810,Mineola,KY,38.8881,-91.5714
823,Mineola,KY,38.8881,-91.5714
843,Mineola,KY,38.8881,-91.5714
845,Mineola,KY,38.8881,-91.5714
859,Mineola,KY,38.8881,-91.5714
877,Mineola,KY,38.8881,-91.5714
904,Mineola,KY,38.8881,-91.5714
905,Mineola,KY,38.8881,-91.5714
928,Mineola,KY,38.8881,-91.5714
1029,Mineola,KY,38.8881,-91.5714
1070,Mineola,KY,38.8881,-91.5714
1082,Mineola,KY,38.8881,-91.5714
1110,Mineola,KY,38.8881,-91.5714
1127,Mineola,KY,38.8881,-91.5714
1145,Mineola,KY,38.8881,-91.5714
1171,Mineola,KY,38.8881,-91.5714
1207,Mineola,KY,38.8881,-91.5714
1213,Mineola,KY,38.8881,-91.5714
1232,Mineola,KY,38.8881,-91.5714
1275,Mineola,KY,38.8881,-91.5714
1276,Mineola,KY,38.8881,-91.5714
1409,Mineola,KY,38.8881,-91.5714
1433,Mineola,KY,38.8881,-91.5714
1449,Mineola,KY,38.8881,-91.5714
1451,Mineola,KY,38.8881,-91.5714
1462,Mineola,KY,38.8881,-91.5714
1498,Mineola,KY,38.8881,-91.5714
1521,Mineola,KY,38.8881,-91.5714
1542,Mineola,KY,38.8881,-91.5714
1557,Mineola,KY,38.8881,-91.5714
1570,Mineola,KY,38.8881,-91.5714
1581,Mineola,KY,38.8881,-91.5714
1586,Mineola,KY,38.8881,-91.5714
1595,Mineola,KY,38.8881,-91.5714
1618,Mineola,KY,38.8881,-91.5714
1619,Mineola,KY,38.8881,-91.5714
1670,Mineola,KY,38.8881,-91.5714
1675,Mineola,KY,38.8881,-91.5714
1687,Mineola,KY,38.8881,-91.5714
1704,Mineola,KY,38.8881,-91.5714
1706,Mineola,KY,38.8881,-91.5714
1766,Mineola,KY,38.8881,-91.5714
1778,Mineola,KY,38.8881,-91.5714
1785,Mineola,KY,38.8881,-91.5714
1788,Mineola,KY,38.8881,-91.5714
1789,Mineola,KY,38.8881,-91.5714
1810,Mineola,KY,38.8881,-91.5714
1816,Mineola,KY,38.8881,-91.5714
1820,Mineola,KY,38.8881,-91.5714
1821,Mineola,KY,38.8881,-91.5714
1825,Mineola,KY,38.8881,-91.5714
1830,Mineola,KY,38.8881,-91.5714
1881,Mineola,KY,38.8881,-91.5714
1887,Mineola,KY,38.8881,-91.5714
1938,Mineola,KY,38.8881,-91.5714
1978,Mineola,KY,38.8881,-91.5714
2044,Mineola,KY,38.8881,-91.5714
2058,Mineola,KY,38.8881,-91.5714
2082,Mineola,KY,38.8881,-91.5714
2087,Mineola,KY,38.8881,-91.5714
2106,Mineola,KY,38.8881,-91.5714
2107,Mineola,KY,38.8881,-91.5714
2132,Mineola,KY,38.8881,-91.5714
2146,Mineola,KY,38.8881,-91.5714
2152,Mineola,KY,38.8881,-91.5714
2159,Mineola,KY,38.8881,-91.5714
2167,Mineola,KY,38.8881,-91.5714
2174,Mineola,KY,38.8881,-91.5714
2238,Mineola,KY,38.8881,-91.5714
2243,Mineola,KY,38.8881,-91.5714
2280,Mineola,KY,38.8881,-91.5714
2289,Mineola,KY,38.8881,-91.5714
2323,Mineola,KY,38.8881,-91.5714
2326,Mineola,KY,38.8881,-91.5714
2344,Mineola,KY,38.8881,-91.5714
2376,Mineola,KY,38.8881,-91.5714
2384,Mineola,KY,38.8881,-91.5714
2386,Mineola,KY,38.8881,-91.5714
2388,Mineola,KY,38.8881,-91.5714
2399,Mineola,KY,38.8881,-91.5714
2400,Mineola,KY,38.8881,-91.5714
2401,Mineola,KY,38.8881,-91.5714
2415,Mineola,KY,38.8881,-91.5714
2433,Mineola,KY,38.8881,-91.5714
2440,Mineola,KY,38.8881,-91.5714
2449,Mineola,KY,38.8881,-91.5714
2473,Mineola,KY,38.8881,-91.5714
2494,Mineola,KY,38.8881,-91.5714
2503,Mineola,KY,38.8881,-91.5714
2504,Mineola,KY,38.8881,-91.5714
2508,Mineola,KY,38.8881,-91.5714
2532,Mineola,KY,38.8881,-91.5714
2558,Mineola,KY,38.8881,-91.5714
2559,Mineola,KY,38.8881,-91.5714
2565,Mineola,KY,38.8881,-91.5714
2578,Mineola,KY,38.8881,-91.5714
2613,Mineola,KY,38.8881,-91.5714
2621,Mineola,KY,38.8881,-91.5714
2638,Mineola,KY,38.8881,-91.5714
2645,Mineola,KY,38.8881,-91.5714
2648,Mineola,KY,38.8881,-91.5714
2673,Mineola,KY,38.8881,-91.5714
2688,Mineola,KY,38.8881,-91.5714
2691,Mineola,KY,38.8881,-91.5714
